title,make,model,year,category,body_type,transmission,fuel_type,engine,mileage,seats,color,location,rental_price,sale_price,description
2016 Suzuki Cultus Limited Edition,Suzuki,Cultus,2016,Hatchback,Hatchback,Manual,Petrol,1.0L,67000,5,Silver,Karachi,1200.0,1340000.0,"Local assembly, 67,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Toyota Prius S,Toyota,Prius,2017,Hybrid,Hatchback,Automatic,Hybrid,1.8L,38000,5,White,Islamabad,4000.0,4650000.0,"Local assembly, 38,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2014 Mercedes Benz C Class C200,Mercedes,Benz,2014,Luxury,Sedan,Automatic,Petrol,1.8L,48000,5,Black,Karachi,8300.0,9500000.0,"Imported assembly, 48,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2014 Suzuki Cultus EURO II,Suzuki,Cultus,2014,Hatchback,Hatchback,Manual,Petrol,1.0L,98600,5,Blue,Islamabad,1100.0,1270000.0,"Local assembly, 98,600 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2020 KIA Sportage AWD,KIA,Sportage,2020,SUV,SUV,Automatic,Petrol,2.0L,12000,7,White,Islamabad,4900.0,5650000.0,"Local assembly, 12,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2015 Honda City 1.3 i-VTEC,Honda,City,2015,Sedan,Sedan,Manual,Petrol,1.3L,91537,5,White,Lahore,1700.0,1950000.0,"Local assembly, 91,537 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Suzuki Mehran VXR Euro II,Suzuki,Mehran,2017,Economy,Hatchback,Manual,Petrol,800cc,37000,5,Red,Islamabad,800.0,975000.0,"Local assembly, 37,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2014 Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,Civic,2014,Sedan,Sedan,Automatic,Petrol,1.8L,78000,5,Grey,Lahore,2300.0,2695000.0,"Local assembly, 78,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2018 Toyota Corolla GLi Automatic 1.3 VVTi,Toyota,Corolla,2018,Sedan,Sedan,Automatic,Petrol,1.3L,43000,5,White,Karachi,2500.0,2875000.0,"Local assembly, 43,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2011 Toyota Prado TX 2.7,Toyota,Prado,2011,Luxury,SUV,Automatic,Diesel,2.7L,137000,5,Silver,Islamabad,10600.0,12200000.0,"Imported assembly, 137,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2020 KIA Sportage AWD,KIA,Sportage,2020,SUV,SUV,Automatic,Petrol,2.0L,3800,7,Grey,Karachi,4900.0,5600000.0,"Local assembly, 3,800 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2017 Suzuki Bolan VX Euro II,Suzuki,Bolan,2017,Economy,Van,Manual,Petrol,800cc,48000,5,White,Lahore,800.0,950000.0,"Local assembly, 48,000 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2016 Suzuki Cultus Limited Edition,Suzuki,Cultus,2016,Hatchback,Hatchback,Manual,Petrol,1.0L,69500,5,Grey,Karachi,1100.0,1280000.0,"Local assembly, 69,500 km driven, Manual transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
2020 KIA Sportage FWD,KIA,Sportage,2020,SUV,SUV,Automatic,Petrol,2.0L,4000,7,White,Islamabad,4700.0,5350000.0,"Local assembly, 4,000 km driven, Automatic transmission. Demo listing generated from aggregated Pakistan used-car market data (Kaggle, CC0: Public Domain) - not a live real-world listing."
