make,model,year,category,body_type,transmission,fuel_type,engine,mileage,seats,location,sale_price
Suzuki,Alto,2023,Economy,Hatchback,Manual,Petrol,1.0L,24624,4,Rawalpindi,1625000
Honda,Civic,2023,Sedan,Sedan,Automatic,Petrol,1.8L,39196,5,Peshawar,6015000
Honda,BR-V,2023,Family,SUV,Manual,Petrol,1.5L,35083,7,Faisalabad,4070000
Toyota,Yaris,2026,Sedan,Sedan,Manual,Petrol,1.5L,9780,5,Karachi,4855000
Honda,BR-V,2023,Family,SUV,Automatic,Petrol,1.5L,41318,7,Peshawar,4600000
Honda,Civic,2022,Sedan,Sedan,Manual,Petrol,1.8L,38416,5,Multan,5350000
Honda,BR-V,2018,Family,SUV,Automatic,Petrol,1.5L,91310,7,Multan,2470000
Toyota,Prius,2012,Hybrid,Hatchback,Manual,Hybrid,1.8L Hybrid,174082,5,Peshawar,1095000
Honda,Vezel,2019,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,91779,5,Karachi,3765000
Honda,City,2023,Sedan,Sedan,Manual,Petrol,1.5L,30798,5,Rawalpindi,3670000
Honda,Civic,2012,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,174870,5,Rawalpindi,1575000
Honda,City,2019,Sedan,Sedan,Manual,Petrol,1.5L,89540,5,Lahore,2280000
Toyota,Hilux,2026,Pickup,Pickup,Automatic,Diesel,2.4L,0,5,Quetta,10155000
KIA,Sportage,2026,SUV,SUV,Manual,Petrol,2.0L,1268,5,Islamabad,8940000
Toyota,Yaris,2022,Sedan,Sedan,Automatic,Petrol,1.3L,42767,5,Peshawar,2905000
Honda,City,2017,Sedan,Sedan,Automatic,Petrol,1.5L,118062,5,Karachi,1940000
Suzuki,Wagon R,2018,Hatchback,Hatchback,Automatic,Petrol,1.0L,64175,5,Multan,1055000
Toyota,Land Cruiser,2017,Luxury,SUV,Manual,Petrol,4.6L,113288,7,Rawalpindi,10275000
Honda,City,2014,Sedan,Sedan,Automatic,Petrol,1.5L,124187,5,Multan,1310000
Suzuki,Bolan,2020,Economy,Van,Automatic,Petrol,800cc,69386,8,Karachi,1045000
Suzuki,Mehran,2021,Economy,Hatchback,Manual,Petrol,800cc,72978,4,Multan,765000
Toyota,Yaris,2024,Sedan,Sedan,Automatic,Petrol,1.3L,34758,5,Peshawar,3930000
Suzuki,Mehran,2019,Economy,Hatchback,Manual,Petrol,800cc,69870,4,Lahore,680000
Toyota,Yaris,2022,Sedan,Sedan,Automatic,Petrol,1.5L,31050,5,Faisalabad,3335000
Suzuki,Alto,2013,Economy,Hatchback,Automatic,Petrol,660cc,156164,4,Rawalpindi,440000
Honda,Vezel,2017,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,98610,5,Faisalabad,3070000
Toyota,Fortuner,2012,SUV,SUV,Manual,Diesel,2.8L,128941,7,Karachi,2675000
Honda,Civic,2022,Sedan,Sedan,Automatic,Petrol,1.8L,35524,5,Peshawar,5170000
Suzuki,Cultus,2019,Hatchback,Hatchback,Automatic,Petrol,1.0L,85580,5,Islamabad,1500000
Honda,Vezel,2022,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,42517,5,Islamabad,5905000
Toyota,Fortuner,2012,SUV,SUV,Manual,Petrol,2.7L,202440,7,Karachi,2545000
